SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
280218,Sep-21,SAN_0684,청계산,청계산,50370,관광명소
279869,Sep-21,CULTURE_001251,창경궁,창경궁,50280,관광명소
265720,Sep-21,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,48710,관광명소
265074,Sep-21,CULTURE_001445,경주대릉원,경주대릉원,48570,관광명소
278198,Sep-21,KC498PP19N008192,인천가족공원,인천가족공원,47180,관광명소
269208,Sep-21,KC498PP19N008156,뚝섬한강공원,뚝섬한강공원,47110,관광명소
264601,Sep-21,SAN_0023,감악산,감악산,47030,관광명소
270646,Sep-21,KC498PP19N008149,반포한강공원,반포한강공원,43750,관광명소
268881,Sep-21,KC498PP19N004250,동탄호수공원,동탄호수공원,43730,관광명소
280099,Sep-21,KC495PP19N032678,천지연폭포,천지연폭포,42850,관광명소
279245,Sep-21,SAN_0638,주왕산,주왕산,41920,관광명소
271732,Sep-21,KC498PP19N000116,북서울꿈의숲,북서울꿈의숲,41690,관광명소
270314,Sep-21,KC498PP19N003573,물의정원,물의정원,41070,관광명소
265583,Sep-21,SAN_0065,관악산,관악산,40640,관광명소
273882,Sep-21,SAN_0448,속리산,속리산,40570,관광명소
275113,Sep-21,SAN_0477,아차산,아차산,40230,관광명소
278251,Sep-21,KC498PP19N008147,일산호수공원,일산호수공원,39890,관광명소
272553,Sep-21,KC495PP19N002969,삽교호놀이동산,삽교호놀이동산,37960,관광명소
279248,Sep-21,KC498PP19N007857,주왕산국립공원,주왕산국립공원,36920,관광명소
276925,Sep-21,SAN_0546,용산,용산,35990,관광명소
266747,Sep-21,KC495PP19N026070,꽃지해수욕장,꽃지해수욕장,35950,관광명소
267197,Sep-21,SAN_0135,내장산,내장산,35240,관광명소
266132,Sep-21,KC495PP19N022610,군위삼국유사테마파크,군위삼국유사테마파크,34780,관광명소
269991,Sep-21,KC495PP19N026093,몽산포해수욕장,몽산포해수욕장,34740,관광명소
276426,Sep-21,CULTURE_001188,오죽헌,오죽헌,33430,관광명소
282574,Sep-21,SAN_0754,황매산,황매산,32780,관광명소
266970,Sep-21,SAN_0128,남산,남산,32730,관광명소
274208,Sep-21,SAN_0453,수락산,수락산,32530,관광명소
273334,Sep-21,CULTURE_001322,선릉,선릉,32390,관광명소
273679,Sep-21,KC498PP19N003258,세종호수공원,세종호수공원,29690,관광명소
